index,url,rest_price_idr,review,lat,long,is_chain,rating,new_code_res_type,rank_res_type,new_code_fac,rank_fac,encode,geohash,d_250_airport,d_250_atm,d_250_bank,d_250_cafe,d_250_convenience_store,d_250_gas_station,d_250_hospital,d_250_lodging,d_250_meal_takeaway,d_250_mosque,d_250_park,d_250_restaurant,d_250_school,d_250_store,d_250_supermarket,d_250_train_station,en_250,n_compt_250,avg_n_rest
1974,https://www.zomato.com/jakarta/kinokawa-scbd/info,300000,77.0,-6.226372763,106.8073613942,0,4.0,0,1743,0,62,00000000000000000000000000000000000000100000000001000000000000000000000000100010000000,qqguw6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975,https://www.zomato.com/jakarta/s-l-gunawarman-senopati/info,300000,83.0,-6.2368668909,106.807727851,0,3.8,0,1283,0,161,00010000000000000000000000000000000000000000000010000000000000000000000000010000000010,qqguw2,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.2730283365896256,0.0,0.0
1976,https://www.zomato.com/jakarta/face-kitchen-jakarta-senopati/info,250000,17.0,-6.230988592,106.8099302799,0,3.2,0,1732,0,1765,00000000000000000000000000000000000110000000000000000000000000000000000000000000010000,qqguw9,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0361987848192837,0.05555555555555555,3.7
1978,https://www.zomato.com/jakarta/lewis-carroll-tea-blok-m/info,250000,713.0,-6.236725,106.789863,1,4.5,0,971,0,99,00000000000100000000100000000000000000000000000000000000000000000000000000000000100010,qqguw0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979,https://www.zomato.com/jakarta/kopi-ini-senopati/info,100000,19.0,-6.2359536708,106.8148742616,0,2.8,0,2038,0,873,00000000000000000000100000000000000000100000000000000000000000000000000000000000100000,qqguw8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.5595811562598767,0.75,3.5500000000000003
1980,https://www.zomato.com/jakarta/yellowfin-senopati/info,400000,399.0,-6.2308652726,106.8078170344,0,4.2,0,508,0,1497,00000000000000000000000000000000000000100000000000000000010000000000000000000010000000,qqguw3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0397207708399179,0.05555555555555555,2.6
1982,https://www.zomato.com/jakarta/guree-senopati/info,100000,14.0,-6.2302236784,106.8061835691,0,3.3,0,202,0,38,00000000000000000001000000000000000010000000000000000000000000000000000000000000000010,qqguw3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6365141682948128,0.0,0.0
1983,https://www.zomato.com/jakarta/haote-sate-maranggi-senopati/info,70000,13.0,-6.2418425793,106.8076718599,0,3.8,0,2239,0,8,00000000000000000000100000000000000010000000000000000000000000000100000000000100000000,qqguqr,0.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.2206072645530175,0.0,0.0
1984,https://www.zomato.com/jakarta/ruma-coffeeatery-senopati/info,200000,52.0,-6.2396608679,106.8136940897,0,3.9,0,8,0,599,00000000000000000000100000000000000010000000000000000000000000000000000000000000000000,qqguw8,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,1.8446214763655029,0.0,0.0
1985,https://www.zomato.com/jakarta/stack-senopati/info,160000,442.0,-6.2446371964,106.8092194945,0,3.2,0,890,0,50,00000000000000000000000000000000000000010000000000000000000000000000000000000000000010,qqguqx,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0114042647073518,0.1111111111111111,4.1
1986,https://www.zomato.com/jakarta/x-coffee-hotel-neo-tendean-senopati/info,150000,71.0,-6.2387433199,106.8175745755,0,3.2,0,665,0,343,00000000000000000010100000000000000000000000000000000000000000000000000001000000100000,qqguw8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0
1987,https://www.zomato.com/jakarta/88-korean-kitchen-senopati/info,200000,322.0,-6.2348084772,106.8153275549,0,4.1,0,820,0,404,00000000000000000000000000000000000000000001010000000000000000000000000000000000000000,qqguw8,0.0,1.0,0.0,1.0,2.0,0.0,0.0,6.0,0.0,3.0,2.0,0.0,4.0,0.0,0.0,0.0,1.7673779345300193,0.0,0.0
1988,https://www.zomato.com/jakarta/odin-bendecido-por-dioses-1-senopati/info,300000,16.0,-6.23222,106.811223,0,3.7,0,1196,0,1292,00010000000000000000000000000000000000000000000000000000000000000000000010000000000000,qqguw9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,https://www.zomato.com/jakarta/k-bunsik-dharmawangsa/info,150000,93.0,-6.2546706985,106.801016964,0,3.9,0,1913,0,1600,00000000000000100010100000010000000000000001000000000000000000000000000000100000000000,qqguqm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,https://www.zomato.com/jakarta/escape-coffee-dharmawangsa/info,100000,108.0,-6.254994647,106.8033793196,0,4.0,0,84,0,588,00000000000000000000100000000000000010000000000000000000000000000000000000000000100000,qqguqm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,https://www.zomato.com/jakarta/montys-senopati/info,700000,368.0,-6.2328400449,106.8112100288,0,4.0,0,801,0,909,00000000000000000010100001000000000000000000000000000000000000000000000000000000100010,qqguw9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,https://www.zomato.com/jakarta/kenjiro-senopati/info,350000,107.0,-6.24136,106.80465,0,4.0,0,1414,0,1459,00010000000000000000000000000000000001100000000000000000000000000000000000000000000010,qqguqr,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,3.35
1996,https://www.zomato.com/jakarta/meathology-senopati/info,100000,36.0,-6.2401104759,106.8121424317,0,3.7,0,250,0,35,00010000000000000010000000000000000000000000000000000000000000000000000000000000000010,qqguw8,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,2.091138882620417,0.1,4.4
1998,https://www.zomato.com/jakarta/glitik-indonesia-eatery-senopati/info,150000,13.0,-6.2360556583,106.8146928772,0,3.5,0,185,0,1000,00000000000000000000000000000000000010000000000000000000000000000000100000000000000000,qqguw8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.5595811562598767,0.0,0.0
