index,encode,new_code,rank
912,000000000000000000000010000000010000000000000001000000,4,0
919,000000000000000000000010000000010000000000000001000000,4,0
920,000000000000000000000010000000010000000000000001000000,4,0
923,000000000000000000000010000000010000000000000001000000,4,0
933,000000000000000000000010000000010000000000000001000000,4,0
944,000000000000000000000010000000010000000000000001000000,4,0
955,000000000000000000000010000000010000000000000001000000,4,0
968,000000000000000000000010000000010000000000000001000000,4,0
969,000000000000000000000010000000010000000000000001000000,4,0
971,000000000000000000000010000000010000000000000001000000,4,0
972,000000000000000000000010000000010000000000000001000000,4,0
974,000000000000000000000010000000010000000000000001000000,4,0
976,000000000000000000000010000000010000000000000001000000,4,0
992,000000000000000000000010000000010000000000000001000000,4,0
1001,000000000000000000000010000000010000000000000001000000,4,0
1004,000000000000000000000010000000010000000000000001000000,4,0
1009,000000000000000000000010000000010000000000000001000000,4,0
1011,000000000000000000000010000000010000000000000001000000,4,0
1017,000000000000000000000010000000010000000000000001000000,4,0
1040,000000000000000000000010000000010000000000000001000000,4,0
1067,000000000000000000000010000000010000000000000001000000,4,0
1119,000000000000000000000010000000010000000000000001000000,4,0
1138,000000000000000000000010000000010000000000000001000000,4,0
1145,000000000000000000000010000000010000000000000001000000,4,0
1146,000000000000000000000010000000010000000000000001000000,4,0
1154,000000000000000000000010000000010000000000000001000000,4,0
1160,000000000000000000000010000000010000000000000001000000,4,0
1171,000000000000000000000010000000010000000000000001000000,4,0
1183,000000000000000000000010000000010000000000000001000000,4,0
1191,000000000000000000000010000000010000000000000001000000,4,0
1219,000000000000000000000010000000010000000000000001000000,4,0
1240,000000000000000000000010000000010000000000000001000000,4,0
1258,000000000000000000000010000000010000000000000001000000,4,0
1270,000000000000000000000010000000010000000000000001000000,4,0
1279,000000000000000000000010000000010000000000000001000000,4,0
1284,000000000000000000000010000000010000000000000001000000,4,0
1291,000000000000000000000010000000010000000000000001000000,4,0
1292,000000000000000000000010000000010000000000000001000000,4,0
1300,000000000000000000000010000000010000000000000001000000,4,0
1307,000000000000000000000010000000010000000000000001000000,4,0
1319,000000000000000000000010000000010000000000000001000000,4,0
1323,000000000000000000000010000000010000000000000001000000,4,0
1363,000000000000000000000010000000010000000000000001000000,4,0
1399,000000000000000000000010000000010000000000000001000000,4,0
1432,000000000000000000000010000000010000000000000001000000,4,0
1439,000000000000000000000010000000010000000000000001000000,4,0
1449,000000000000000000000010000000010000000000000001000000,4,0
1461,000000000000000000000010000000010000000000000001000000,4,0
1482,000000000000000000000010000000010000000000000001000000,4,0
1485,000000000000000000000010000000010000000000000001000000,4,0
1514,000000000000000000000010000000010000000000000001000000,4,0
1525,000000000000000000000010000000010000000000000001000000,4,0
1533,000000000000000000000010000000010000000000000001000000,4,0
1548,000000000000000000000010000000010000000000000001000000,4,0
1552,000000000000000000000010000000010000000000000001000000,4,0
1555,000000000000000000000010000000010000000000000001000000,4,0
1569,000000000000000000000010000000010000000000000001000000,4,0
1593,000000000000000000000010000000010000000000000001000000,4,0
1596,000000000000000000000010000000010000000000000001000000,4,0
1604,000000000000000000000010000000010000000000000001000000,4,0
1606,000000000000000000000010000000010000000000000001000000,4,0
1621,000000000000000000000010000000010000000000000001000000,4,0
1623,000000000000000000000010000000010000000000000001000000,4,0
1632,000000000000000000000010000000010000000000000001000000,4,0
1642,000000000000000000000010000000010000000000000001000000,4,0
1647,000000000000000000000010000000010000000000000001000000,4,0
1650,000000000000000000000010000000010000000000000001000000,4,0
1661,000000000000000000000010000000010000000000000001000000,4,0
1664,000000000000000000000010000000010000000000000001000000,4,0
1675,000000000000000000000010000000010000000000000001000000,4,0
1682,000000000000000000000010000000010000000000000001000000,4,0
1688,000000000000000000000010000000010000000000000001000000,4,0
1696,000000000000000000000010000000010000000000000001000000,4,0
1714,000000000000000000000010000000010000000000000001000000,4,0
1721,000000000000000000000010000000010000000000000001000000,4,0
1727,000000000000000000000010000000010000000000000001000000,4,0
1731,000000000000000000000010000000010000000000000001000000,4,0
1745,000000000000000000000010000000010000000000000001000000,4,0
1749,000000000000000000000010000000010000000000000001000000,4,0
1754,000000000000000000000010000000010000000000000001000000,4,0
1756,000000000000000000000010000000010000000000000001000000,4,0
1757,000000000000000000000010000000010000000000000001000000,4,0
1772,000000000000000000000010000000010000000000000001000000,4,0
1773,000000000000000000000010000000010000000000000001000000,4,0
1793,000000000000000000000010000000010000000000000001000000,4,0
1797,000000000000000000000010000000010000000000000001000000,4,0
1810,000000000000000000000010000000010000000000000001000000,4,0
1821,000000000000000000000010000000010000000000000001000000,4,0
1830,000000000000000000000010000000010000000000000001000000,4,0
1844,000000000000000000000010000000010000000000000001000000,4,0
1863,000000000000000000000010000000010000000000000001000000,4,0
1866,000000000000000000000010000000010000000000000001000000,4,0
1870,000000000000000000000010000000010000000000000001000000,4,0
1884,000000000000000000000010000000010000000000000001000000,4,0
1891,000000000000000000000010000000010000000000000001000000,4,0
1898,000000000000000000000010000000010000000000000001000000,4,0
1914,000000000000000000000010000000010000000000000001000000,4,0
1925,000000000000000000000010000000010000000000000001000000,4,0
1930,000000000000000000000010000000010000000000000001000000,4,0
1932,000000000000000000000010000000010000000000000001000000,4,0
1966,000000000000000000000010000000010000000000000001000000,4,0
2005,000000000000000000000010000000010000000000000001000000,4,0
2007,000000000000000000000010000000010000000000000001000000,4,0
2021,000000000000000000000010000000010000000000000001000000,4,0
2023,000000000000000000000010000000010000000000000001000000,4,0
2025,000000000000000000000010000000010000000000000001000000,4,0
2029,000000000000000000000010000000010000000000000001000000,4,0
2033,000000000000000000000010000000010000000000000001000000,4,0
2044,000000000000000000000010000000010000000000000001000000,4,0
