url,title,franchise_flag,rest_type,rest_price,rest_facility,rest_longlat,rating,review
https://www.zomato.com/jakarta/docliz-coffee-kitchen-kelapa-gading/info,Docliz Coffee & Kitchen,0,Cafe|Coffee|Italian|Asian,Rp120.000 for two people (approx.),Home Delivery|Takeaway Available|Indoor Seating|Smoking Area|Outdoor Seating|Wifi|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1550960000,106.8925570000']",3.7,50
https://www.zomato.com/jakarta/sister-grounds-coffee-eatery-kelapa-gading/info,Sister Grounds Coffee & Eatery,0,Coffee|Indonesian,Rp150.000 for two people (approx.),Breakfast|Takeaway Available|Indoor Seating|Wifi|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1752249758,106.9129673392']",3.9,52
https://www.zomato.com/jakarta/manta-e-sport-cafe-kelapa-gading/info,Manta E-Sport Cafe,0,Cafe|Snacks,Rp120.000 for two people (approx.),Takeaway Available|Smoking Area|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1742076495,106.9139664620']",4,111
https://www.zomato.com/jakarta/a-fung-baso-sapi-asli-kelapa-gading/info,A Fung Baso Sapi Asli,0,Bakso,Rp130.000 for two people (approx.),Takeaway Available|Indoor Seating|Wifi,"['https://www.google.com/maps/dir/?api=1&destination=-6.1564181235,106.9091012701']",3.8,33
https://www.zomato.com/jakarta/soto-kudus-blok-m-kelapa-gading/info,Soto Kudus Blok M,0,Soto|Jawa,Rp80.000 for two people (approx.),Breakfast|Home Delivery|Takeaway Available|Smoking Area|Indoor Seating|Table booking not available|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1675940000,106.9006310000']",2.7,35
https://www.zomato.com/jakarta/deja-coffee-pastry-kelapa-gading/info,Deja Coffee & Pastry,0,Cafe|Coffee|Western,Rp150.000 for two people (approx.),Breakfast|Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1633566029,106.9032751769']",3.4,6
https://www.zomato.com/jakarta/sate-padang-ajo-ramon-kelapa-gading/info,Sate Padang Ajo Ramon,0,Satay|Padang,Rp80.000 for two people (approx.),Home Delivery|Takeaway Available|Self Service|Indoor Seating|Wifi|Table booking not available|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1460807377,106.8915458769']",3.5,30
https://www.zomato.com/jakarta/clairmont-1-kelapa-gading/info,Clairmont,0,Bakery,Rp100.000 for two people (approx.),Takeaway Available|Indoor Seating|Desserts and Bakes|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1686450000,106.8998960000']",3.9,18
https://www.zomato.com/jakarta/seven-beans-coffee-kelapa-gading/info,Seven Beans Coffee,0,Cafe|Coffee,Rp100.000 for two people (approx.),Takeaway Available|Outdoor Seating|Indoor Seating|Smoking Area|Wifi|Live Music|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1705923253,106.9092836604']",3.4,10
https://www.zomato.com/jakarta/lapo-ni-tondongta-pramuka-kelapa-gading/info,Lapo Ni Tondongta Pramuka,0,Batak,Rp100.000 for two people (approx.) Without alcohol,Home Delivery|Takeaway Available|Beer|Indoor Seating,"['https://www.google.com/maps/dir/?api=1&destination=-6.1468240000,106.9098470000']",3.6,29
