index,url,rest_price_idr,review,lat,long,is_chain,rating,new_code_res_type,rank_res_type,new_code_fac,rank_fac
164,https://www.zomato.com/jakarta/krossroadz-kelapa-gading/info,200000.0,63.0,-6.1498862364,106.9033492729,0,3.7,0,431,0,48
165,https://www.zomato.com/jakarta/warunk-cece-kelapa-gading/info,150000.0,38.0,-6.143993,106.909907,0,3.4,4,0,0,1291
166,https://www.zomato.com/jakarta/chuan-tin-1-kelapa-gading/info,150000.0,79.0,-6.158895,106.907186,0,3.8,2,2,0,7
167,https://www.zomato.com/jakarta/veloce-coffee-kelapa-gading/info,100000.0,22.0,-6.1510409479,106.8908739835,0,3.0,0,32,0,99
168,https://www.zomato.com/jakarta/chuan-xiang-shifu-kelapa-gading/info,200000.0,16.0,-6.1515629673,106.8902483583,0,3.0,2,2,0,1241
169,https://www.zomato.com/jakarta/pizza-hut-1-kelapa-gading/info,250000.0,95.0,-6.1570388069,106.9100725651,1,3.8,0,114,0,23
170,https://www.zomato.com/jakarta/hakka-house-kelapa-gading/info,350000.0,50.0,-6.155128,106.908435,0,3.6,2,2,0,1413
171,https://www.zomato.com/jakarta/nasi-campur-kenanga-kelapa-gading/info,150000.0,65.0,-6.1586951814,106.9062688574,1,4.0,0,43,0,9
172,https://www.zomato.com/jakarta/ippeke-komachi-kelapa-gading/info,250000.0,760.0,-6.156675,106.909185,0,4.6,0,8,0,3
173,https://www.zomato.com/jakarta/porky-brothers-kelapa-gading/info,100000.0,53.0,-6.150613,106.891518,0,3.6,0,153,0,47
174,https://www.zomato.com/jakarta/mie-zhou-kelapa-gading/info,100000.0,62.0,-6.1476921444,106.9097684696,0,3.9,1,6,1,2
175,https://www.zomato.com/jakarta/saint-cinnamon-coffee-kelapa-gading/info,100000.0,20.0,-6.1576634897,106.9087810814,1,3.4,0,220,0,104
176,https://www.zomato.com/jakarta/portable-whiz-prime-hotel-kelapa-gading/info,300000.0,118.0,-6.153483,106.892517,0,3.9,0,409,0,808
177,https://www.zomato.com/jakarta/yoshinoya-1-kelapa-gading/info,100000.0,214.0,-6.156764,106.898542,1,4.1,0,49,0,4
178,https://www.zomato.com/jakarta/hot-star-kelapa-gading/info,120000.0,52.0,-6.1575081524,106.9088933989,1,3.4,0,37,0,6
179,https://www.zomato.com/jakarta/golden-egg-bakery-2-kelapa-gading/info,100000.0,20.0,-6.1565737944,106.9093668088,0,3.9,0,14,0,8
180,https://www.zomato.com/jakarta/eatlah-kelapa-gading/info,120000.0,173.0,-6.169542,106.900082,1,4.0,0,15,4,0
181,https://www.zomato.com/jakarta/shushu-kelapa-gading/info,75000.0,257.0,-6.1510299475,106.8924839795,1,4.3,0,309,4,0
182,https://www.zomato.com/jakarta/churrobites-churros-and-coffee-kelapa-gading/info,70000.0,55.0,-6.1696,106.900466,0,3.4,0,346,0,1530
183,https://www.zomato.com/jakarta/sop-konro-karebosi-kelapa-gading/info,120000.0,638.0,-6.1716619919,106.8982366473,1,4.2,0,88,0,63
184,https://www.zomato.com/jakarta/nasi-kuning-plus-plus-1-kelapa-gading/info,60000.0,32.0,-6.1705116586,106.9027544931,0,3.1,4,0,0,9
185,https://www.zomato.com/jakarta/lamian-palace-kelapa-gading/info,45000.0,206.0,-6.1463400832,106.8915482238,1,3.6,0,35,0,1407
186,https://www.zomato.com/jakarta/kopi-yor-kelapa-gading/info,50000.0,47.0,-6.1706313254,106.9035078585,1,3.6,1,3,4,0
187,https://www.zomato.com/jakarta/es-krim-es-puter-brasil-kelapa-gading/info,80000.0,35.0,-6.1627619273,106.909221299,0,3.1,0,22,0,16
188,https://www.zomato.com/jakarta/sushi-apa-kelapa-gading/info,120000.0,142.0,-6.1638042759,106.903629899,0,4.0,0,8,0,1289
189,https://www.zomato.com/jakarta/mie-lebar-21-kelapa-gading/info,80000.0,19.0,-6.169704,106.900698,0,3.7,0,16,0,159
190,https://www.zomato.com/jakarta/golden-leaf-restaurant-kelapa-gading/info,300000.0,48.0,-6.15503,106.89236,0,3.8,2,2,0,906
191,https://www.zomato.com/jakarta/a-w-kelapa-gading/info,120000.0,58.0,-6.15717,106.9081,1,3.3,0,26,0,4
